meal_timing,meal_action,timestamp
1740877258812,eat,2025-03-02_10-07-00.733
1740877258812,not eat,2025-03-02_10-07-01.707
1740877258812,not eat,2025-03-02_10-07-02.665
1740877258812,not eat,2025-03-02_10-07-03.624
1740877258812,not eat,2025-03-02_10-07-05.161
1740877258812,not eat,2025-03-02_10-07-06.134
1740877258812,not eat,2025-03-02_10-07-07.088
1740877258812,not eat,2025-03-02_10-07-08.075
1740877258812,not eat,2025-03-02_10-07-09.041
1740877258812,not eat,2025-03-02_10-07-10.009
1740877258812,not eat,2025-03-02_10-07-10.972
1740877258812,not eat,2025-03-02_10-07-12.515
1740877258812,not eat,2025-03-02_10-07-13.464
1740877258812,not eat,2025-03-02_10-07-14.411
1740877258812,not eat,2025-03-02_10-07-15.390
1740877258812,not eat,2025-03-02_10-07-16.351
1740877258812,not eat,2025-03-02_10-07-17.300
1740877258812,not eat,2025-03-02_10-07-18.300
1740877258812,not eat,2025-03-02_10-07-19.846
1740877258812,not eat,2025-03-02_10-07-20.844
1740877258812,not eat,2025-03-02_10-07-21.836
1740877258812,not eat,2025-03-02_10-07-22.798
1740877258812,not eat,2025-03-02_10-07-24.341
1740877258812,not eat,2025-03-02_10-07-25.288
1740877258812,not eat,2025-03-02_10-07-26.250
1740877258812,not eat,2025-03-02_10-07-27.197
1740877258812,not eat,2025-03-02_10-07-28.189
1740877258812,not eat,2025-03-02_10-07-29.158
1740877258812,not eat,2025-03-02_10-07-30.137
1740877258812,not eat,2025-03-02_10-07-31.086
1740877258812,eat,2025-03-02_10-07-32.045
1740877258812,not eat,2025-03-02_10-07-32.991
1740877258812,not eat,2025-03-02_10-07-33.932
1740877258812,not eat,2025-03-02_10-07-34.890
1740877258812,not eat,2025-03-02_10-07-35.847
1740877258812,eat,2025-03-02_10-07-36.827
1740877258812,not eat,2025-03-02_10-07-37.805
1740877258812,not eat,2025-03-02_10-07-38.782
1740877258812,eat,2025-03-02_10-07-39.728
1740877258812,not eat,2025-03-02_10-07-40.686
1740877258812,not eat,2025-03-02_10-07-41.638
1740877258812,not eat,2025-03-02_10-07-42.596
1740877258812,not eat,2025-03-02_10-07-43.580
1740877258812,not eat,2025-03-02_10-07-44.527
1740877258812,not eat,2025-03-02_10-07-45.486
1740877258812,not eat,2025-03-02_10-07-46.452
1740877258812,not eat,2025-03-02_10-07-47.412
1740877258812,not eat,2025-03-02_10-07-48.363
1740877258812,not eat,2025-03-02_10-07-49.311
1740877258812,not eat,2025-03-02_10-07-50.262
1740877258812,not eat,2025-03-02_10-07-51.221
1740877258812,eat,2025-03-02_10-07-52.179
1740877258812,not eat,2025-03-02_10-07-53.131
1740877258812,not eat,2025-03-02_10-07-54.106
1740877258812,not eat,2025-03-02_10-07-55.057
1740877258812,eat,2025-03-02_10-07-56.006
1740877258812,not eat,2025-03-02_10-07-56.953
1740877258812,eat,2025-03-02_10-07-57.900
1740877258812,not eat,2025-03-02_10-07-58.850
1740877258812,not eat,2025-03-02_10-07-59.795
1740877258812,eat,2025-03-02_10-08-00.759
1740877258812,not eat,2025-03-02_10-08-01.704
1740877258812,eat,2025-03-02_10-08-03.265
1740877258812,eat,2025-03-02_10-08-04.217
1740877258812,not eat,2025-03-02_10-08-05.160
1740877258812,not eat,2025-03-02_10-08-06.116
1740877258812,not eat,2025-03-02_10-08-07.061
1740877258812,eat,2025-03-02_10-08-08.015
1740877258812,eat,2025-03-02_10-08-08.973
1740877258812,not eat,2025-03-02_10-08-09.913
1740877258812,eat,2025-03-02_10-08-10.863
1740877258812,eat,2025-03-02_10-08-11.826
1740877258812,not eat,2025-03-02_10-08-12.773
1740877258812,not eat,2025-03-02_10-08-13.716
1740877258812,eat,2025-03-02_10-08-14.668
1740877258812,eat,2025-03-02_10-08-15.621
1740877258812,not eat,2025-03-02_10-08-16.564
1740877258812,eat,2025-03-02_10-08-17.514
1740877258812,eat,2025-03-02_10-08-18.479
1740877258812,not eat,2025-03-02_10-08-19.434
1740877258812,eat,2025-03-02_10-08-20.402
1740877258812,eat,2025-03-02_10-08-21.364
1740877258812,not eat,2025-03-02_10-08-22.323
1740877258812,eat,2025-03-02_10-08-23.264
1740877258812,eat,2025-03-02_10-08-24.206
1740877258812,not eat,2025-03-02_10-08-25.154
1740877258812,eat,2025-03-02_10-08-26.110
1740877258812,eat,2025-03-02_10-08-27.057
1740877258812,eat,2025-03-02_10-08-27.995
1740877258812,eat,2025-03-02_10-08-28.988
1740877258812,eat,2025-03-02_10-08-29.950
1740877258812,eat,2025-03-02_10-08-30.910
1740877258812,eat,2025-03-02_10-08-31.859
1740877258812,eat,2025-03-02_10-08-32.818
1740877258812,not eat,2025-03-02_10-08-33.761
1740877258812,eat,2025-03-02_10-08-34.707
1740877258812,eat,2025-03-02_10-08-35.684
1740883513392,not eat,2025-03-02_11-46-22.897
1740883513392,not eat,2025-03-02_11-46-24.172
1740883513392,not eat,2025-03-02_11-46-25.712
1740883513392,not eat,2025-03-02_11-46-26.723
1740883513392,not eat,2025-03-02_11-46-27.682
1740883513392,eat,2025-03-02_11-46-28.633
1740883513392,eat,2025-03-02_11-46-30.174
1740883513392,eat,2025-03-02_11-46-31.252
1740883513392,not eat,2025-03-02_11-46-32.202
1740883513392,not eat,2025-03-02_11-46-33.167
1740883513392,not eat,2025-03-02_11-46-34.139
1740883513392,not eat,2025-03-02_11-46-35.105
1740883513392,not eat,2025-03-02_11-46-36.076
1740883513392,not eat,2025-03-02_11-46-37.046
1740883513392,not eat,2025-03-02_11-46-38.101
1740883513392,not eat,2025-03-02_11-46-39.047
1740883513392,not eat,2025-03-02_11-46-39.997
1740883513392,not eat,2025-03-02_11-46-40.953
1740883513392,not eat,2025-03-02_11-46-41.900
1740883513392,not eat,2025-03-02_11-46-42.851
1740883513392,eat,2025-03-02_11-46-44.414
1740883513392,not eat,2025-03-02_11-46-45.380
1740883513392,not eat,2025-03-02_11-46-46.349
1740883513392,not eat,2025-03-02_11-46-47.885
1740883513392,not eat,2025-03-02_11-46-48.846
1740883513392,eat,2025-03-02_11-46-49.801
1740883513392,not eat,2025-03-02_11-46-50.777
